,Unnamed: 0,ID,review_description,rating
36,36,34,للأسف العاملين على طلبات والسواق غير مؤهلين ودائما الطلب يكون ناقص او بارد هل هو متعمد من المطاعم او السواق ياكلون الأكل ودائما ماعندهم فكه و مو عارف العنوان تم إلغاء البرنامج,-1.0
37,37,35,طلب زفت مايستاهل حتى ربع نجمه,-1.0
38,38,36,ممتاز افضل من هنقرستيشن,1.0
39,39,37,وبسسس تيشيلغاليسسششسبهصسسشششششسسصسسيسسسسسسششبسشسنتخليشيسسششسسسشششضضحض👨🏻‍🎓👨🏻‍🎓👨🏻‍🎓👨🏻‍🎓👨🏻‍🎓👨🏻‍🎓👨🏻‍🎓👨🏻‍🎓👨🏻‍🎓 حذاء كرت كرت كرت عبد الوهاب علاج فيري حساب عبد الوهاب علاج فيري,1.0
40,40,38,برنامج ممتاز وسعر التوصيل رمزي,1.0
41,41,39,تاا,1.0
42,42,40,افضل تطبيق لطلابات من المطاعم في الكويت,1.0
43,43,41,مرررره جميل وانصح الجميع يحمله 😀😉,1.0
44,44,42,من تجربتي ممتاز,1.0
45,45,43,ممتاز جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا جدا اوصي الكل بتنزيله هيوفر عليك الوقت والمجهود,1.0
46,46,44,جمممممييللللل,1.0
47,47,45,لم يعجبني,-1.0
49,49,46,اكتر خدمه عملاء سيئه على الاطلاق و عن طريق الواتس اب وعن طريق الكول سنتر كمان ....للاسف تجربه لن تتكرر مع رايه,-1.0
50,50,47,راااائع👏🏻👏🏻,1.0
51,51,48,زفت ومش شغال,-1.0
52,52,49,جدآ ممتاز,1.0
53,53,50,ممتاز جدا وعملي يحتاج فقط إشراك جميع المطاعم في البرنامج,1.0
54,54,51,جميل جميل البرنامج,1.0
55,55,52,افضل شيء يجيك طلب بسرعه,1.0
56,56,53,سيا سيا,-1.0
57,57,54,التطبيق مش مستقبل المكان بتاعي,-1.0
58,58,55,تجربة سيئة جدا جدا والاكل بيجي غلط جدا والفلوس مش بعرف استردها وبجد ابلكيشن سيئ,-1.0
59,59,56,Baad,-1.0
60,60,57,1-مهم ان يضاف موقع الطالب عبر جوجل ماب لخدمة التوصيل وعدم الاكتفاء بالعنوان  2-مهم ان يكون لمستخدمي التطبيق اسعار او عروض خاصه ولا نطلع من المولد بلا حمص,1.0
61,61,58,بعد انتظار طال لساعتين ونصف تواصلت مع الدعم الفني وعند انتظاري له لاخباري بسبب التأخير اكتشفت انه الغى طلبي بعد تواصلي معه مباشرة ورجعت تواصلت معهم ليتم الرد ب : نعتذر يبدو انه يوجد مشكلة في المطعم!,-1.0
62,62,59,إنه لا يحدد الموقع في الفيوم,-1.0
63,63,60,طلبت قبل شوي خبز سيئ جداً وصلني الخبز كأنه اله شهر مخبوز لا انصح,-1.0
64,64,61,تعال,1.0
65,65,62,تطبيق جميل جدا و رائع عندما تكون جوعان مثلي انا 💜💜💜💜💜👽,1.0
66,66,63,حملتو ع الفاضي مبيفتحش .😡😡😡😡,-1.0
67,67,64,طلبات تاخير في كل وقت ومافي متابعة من الادارة,-1.0
68,68,65,تطبيق ممتاز ودقه في التوصيل,1.0
69,69,66,ممتاز جدا من جميع النواحي,1.0
70,70,67,سيء للغايه خصوصاً المطاعم بتبيع ارخص منه لأنه طماع بدو عموله من المطاعم جربو احكو مع المطعم,-1.0
71,71,68,ما شاالله وصل بسرعه وكان حارا ولذيذ شكرا,1.0
72,72,69,كنت قاعد بطلب وجبة و معاي قسيمة خصم بقيمة 5.5jd اخذو القسيمة و ما كمل الطلب ف بتوقع انه تطبيق سيئ و احتيالي,-1.0
73,73,70,السعر ( اغلا) والجوده ليست كالتي نشتريها بأنفسنا من المحل,0.0
74,74,71,ده كله بالانجليزي اجدعااان ليه بس الاحراج ده 😒😒,-1.0
75,75,72,مممممممتااااااااااااز,1.0
76,76,73,يجنننن😍😍😍😍😍,1.0
77,77,74,تطبيق فاشل وكل لما احاول الدخول لم أحصل على نتيجة,-1.0
78,78,75,خصم Alex30 مش راضي ينفعل و بيكتبو لا يمكن استخدام القسيمه,0.0
79,79,76,البرنامج مو بيفتح ليه؟,-1.0
80,80,77,"انا بسمع عن استخدامات المريحة لكن للأسف حاولت استخدامه ما عرفتش و ايه هي خطوطه و ياريت يبقى متاح التنقل به داخل مدينة ٦ اكتوبر او العبور مثلا لا يكون مقتصر على المسافات البعيدة فقط و بالتوفيق
",-1.0
81,81,78,برنامج سيئ جدا جدا جدا .. دائما يتم الخروج ولايتم الاستفاده من الغرض القائم عليه .,-1.0
82,82,79,مره والتطبيق حلو,1.0
83,83,80,بجنن,1.0
84,84,81,رائع بدرجة كبيرة تخيلوا اني جوعا ومافي أحد عشان يروح يشتري أقوم أخذ الجوال واطلب اولاين,-1.0
85,85,82,يا ريت توفير اللغه العربيه,-1.0
86,86,83,حبيت التطبيق سهل وسريع,1.0
87,87,84,ممتاز جدا اعجبني كثيرا,1.0
88,88,85,جميل جدا ولا يسأل أسإله كثيره,1.0
89,89,86,بصراحة وايد حلو التطبيق,1.0
90,90,87,رائع جداً انصح بتحميلة,1.0
91,91,88,✌✌✌من الكويت 👏👏👏,1.0
92,92,89,٥؛غفف٤ففففق 😘😘 ،.... زء👩‍❤️‍💋‍👨 من تهه787هخح؟ ج ٨ج9$٨ ٩ ٩ II 7 8 9 عند ابويا حاجه لما يجيب حاجه يا بابا حاج حاجه,0.0
93,93,90,ممتاز جدا مايتأخر ويوصلك الاكل ساخن,1.0
94,94,91,رائع بس ليش مافيه في مدينه خميس مشيط.,1.0
95,95,92,أفضل من تطبيق hollofood,1.0
96,96,93,جد جد جميل,1.0
97,97,94,خدمه العملاء ذوق جدا,1.0
98,98,95,العملاء وقحين 😡,-1.0
99,99,96,عنجد عالطلب شكرا الكم,1.0
100,100,97,ليش ما بتبعثولي قسيمة كثير ناس بتوصلهم قسائم انا ما بوصلني اشي 🤔,1.0
101,101,98,برنامج طلبات الصراحة بخيل شوية في الخصومات وان جالي خصم كبير يبقي صلاحيته لحد تاني يوم وبس,-1.0
102,102,99,بطل يجي عند الرمز الاستلام لما اطلب ولا حدا برن عليه شو المشكلة,-1.0
103,103,100,خوش تطبيق والله الله يرحم الدلفري المات,1.0
104,104,101,اسمع يوصل في قرية,1.0
105,105,102,تم حظر حسابي دون اي سبب واعذار سخيفه هناك تطبيقات افضل منكم وانا انصح جميع المستهلكين التحويل اليها,-1.0
106,106,103,انا موجود في قطر بروة سيتي مسيمير ولا أستطيع استخدام التطبيق لطلب الطعام دائما يرسل الموقع خارج نطاق الخدمة,0.0
107,107,104,مش عارف اتحرك من محافظة الشرقيه لطور سيناء حاجه🤮🤮🤮🤮,-1.0
108,108,105,تطبيق أكثر من رائع جدا في توصيل الطلبيات,1.0
109,109,106,��😘😘😘😇,
110,110,107,لا يوجد توصيل لمديتني,-1.0
111,111,108,برنامج اهبل لا احد يحمله,-1.0
112,112,109,woow,1.0
113,113,110,حبيت طلبات خليك مع طلبات يوصلك للبيت جيد جدا 💓💖❤️🤩😍❤️💞💕💖💖💖💖 تعليق فوق اتعليق طلبات خمسه نجوم سريع ومهتم بطلب انصح الكل يجرب طلبات ولو مره وتشوف يوصلك الاكل حار وفلوسك اذا لغيت الطلب بيرجعلك ماينقص ريال خليك مع طلبات والله ماهو مدح انا اتكلم من قلبي بتوفيق ان شاء الله يكون بعونكم,1.0
114,114,111,شارع العباس,1.0
115,115,112,تحت التجربة ناكن دخلتو شوفتو حلو,1.0
116,116,113,حلو بس يتاخر وغير كذا يجي الاكل بااارد,1.0
117,117,114,من فضلكم ليه مافيش لمحافظة المنيا ومراكزها... رجاءا ضعوه في الخطه,1.0
118,118,115,ممتاز سريع التوصيل,1.0
119,119,116,تاخير في بعض المطاعم ووصول الاكل بارد,1.0
120,120,117,رووووعة,1.0
122,122,118,تحديث,1.0
123,123,119,عنجد حلو ☺️☺️😊,1.0
124,124,120,لو م هينفع حد يساعدني ف مشكله البروموكود و حجز الرحله همسح البرنامج,-1.0
125,125,121,برنامج رائع جدا,1.0
127,127,122,هو حلو بس ليش وجبة BTS مو حاليه؟؟ ارجو الرد,1.0
128,128,123,راائع جدا,1.0
129,129,124,يستاهل اكثر من مليون نجمههههههه والله,1.0
130,130,125,السلام عليكم و رحمه الله و بركاته برنامج الطلبات مره فكره عضيمه و يستاهل خمس نجوم⭐⭐⭐⭐⭐,1.0
131,131,126,انا طلبت وصلني يعني تقريبا تأخر 5 دقائق بس حلو يعني وانا جالسه اطلب يوصلني 😍😍👌👌,1.0
132,132,127,مررره عجييب,-1.0
133,133,128,كثير زايدين سعر التوصيل و حتى اسعاررهم ظعف المحلات,0.0
134,134,129,تطبيق ممتاز جداً والوصول سريع 👌,1.0
135,135,130,ممتاز لاكن مش كل مطاعم موجوده بعضها صور مش معروضه فيصعب الاختيار,1.0
136,136,131,ياريت يكون فيه تسهيل أن اى حد يقدر يبعت على محفظتى فلوس من فورى من غير ما يكون فاتحة محفظة,-1.0
137,137,132,افشل تطبيق ممكن تشترى حاجه من عليه او تتابع مشترياتك واقساطك للشركة ديه,-1.0
138,138,133,لذيذه يم يم,1.0
139,139,134,جميل والرجاء الاسراع اكثر,1.0
140,140,135,والله بالنسبه لي الحلو بيوصل بسرعه,1.0
141,141,136,لا يفتح بعد التحديث فيها رصيد اعمل ايه,0.0
142,142,137,خدمة العملاء تتأخر في الرد,0.0
143,143,138,رائع رائع رائع رائع رائع رائع,1.0
144,144,139,حلو وسهل الاستخدام. يحفظ موقعك الجغرافي بدقة عند الطلب للمرة الاولى بضمان ايميلك وجوالك. التطبيق مريح ويعرض المنيو كامله. يزيد على اسعار المنيو من ١٠ الى ٤٠ ريال رسوم توصيل. من عيوب التوصيل ان الطلب ياخذ ساعة ويمكن اكثر. المشكله اذا وصل الطلب بارد او معجن.,1.0
145,145,140,afdel bernameg llakl,1.0
146,146,141,انا رحت بيتنا في بيتنا القديم و الحديث أكثر المقالات قراءة ترشيد استهلاك المياه وادي الذئاب الجزء السادس الحلقة مشاهدة مباشرة مسلسل دقات قلب الحلقة الاخيرة مسلسل وادي الذئاب الجزء السادس الحلقة مشاهدة مباشرة مسلسل دقات قلب الحلقة الاخيرة مسلسل بنات الثانوية الحلقة الاخيرة اعتقال معمر القذافي صور مسلسل,1.0
147,147,142,سئ جدا نزلته و مسحته 4 مرات و مش بيفتح,-1.0
148,148,143,شركة محترمه,1.0
151,151,144,البرنامج جداااا بطيئ لو في أقل من نجمة كان حطيت عنجد لازم تصلحو هاي المشكلة لان البرنامج بطيئ ما بطلع صور,-1.0
152,152,145,الايهن تغصث فتباغ,1.0
153,153,146,تطبيق زي الزفت لا هو الزفت نفسه ماعندهم احترم للمواعيد ولاشي تطلب الساعه 6 يجيك الساعه 10,-1.0
154,154,147,يعني بالله حاطين فيديو اختر من مطاعمك وجميع المطاعم وفي النهايه ادور ما القى الا شاي ذا حق الكيك هذا مطعم بالله فصفص بنص ارجل منه ما انصح بتحميله ابد خايس مخيس خسيس كل شي فيه سيئ يولد لاحد يحمله مانصح فيه ذاكره الجهاز تمتلي عل فاضي بس عبرت عن القهر الي جاني يلا برب 🙋,-1.0
155,155,148,بس شباب لا يوجد بيتزا هت,1.0
156,156,149,احببت التطبيق,1.0
157,157,150,التطبيق جميل جدا انصح بتحميله بس هنجر ستيشن بايخ,1.0
158,158,151,تجربه ممتازه وروعه بجد بس ياريت يبقا ف كذه باص بحر يبقاا احسن,1.0
159,159,152,من أفضل برنامج كل ما تريد كل ما تشتهي 🥰🥰🥰🥰💞💞💞💞,1.0
160,160,153,انا استخدمه بس لااكتشف المطاعم,0.0
161,161,154,دا مش برنامج اصلا دا شلل,-1.0
162,162,155,ولاية بركاء/منطقة البله,-1.0
163,163,156,موعجييييييييييييبة ولا تطلعوها,-1.0
164,164,157,٩دو٩ةخرع٦,1.0
165,165,158,للاسف موقع غريب عجيب بتاريخ ١٣ /٥ لغيت طلبيه بقيمة ١٥ دينار بعثولي اشعار راح يرجعو لحسابك من خمس ايام الى عشر ايام للان مارجعوهم تواصلت معهم طلبو مني رقم الطلبيه دخلت لقيت كل شيء ممسوح حتى طلباتي السابقه ممسوحه موقع بحجم طلبات تصرفهم غير لائق صراحه,-1.0
166,166,159,تطبيق راااائع احلى اشي فيه انه يوصلك الأكل مثل ما هو ما يكون واقع او ناقصه شي بس المشكله انت يتأخر أكثر من 30 دقيقه يكون شي رائع اذا كان التوصيل أقل من هيك,1.0
167,167,160,تطبيق رائع وانصح الطا بتحميله,1.0
168,168,161,انشالله يعجبني,1.0
169,169,162,كل شي حلو بس تأخير شوية,1.0
170,170,163,إضافة خاصية الدفع ببطاقة الائتمان لكل المطاعم و تحديد موقع المطعم,1.0
171,171,164,احله,1.0
172,172,165,مصر مش موجودة 😠,-1.0
173,173,166,تقيل ونظام فاشل,-1.0
174,174,167,عدم تواصل معاهم بس أشكركم على إهتمام طلبات,1.0
175,175,168,تطبيق ممتاز استفدت منه في دول الخليج,1.0
176,176,169,فوق الممتاز خدمات سريعه,1.0
177,177,170,ممتاذ,1.0
180,180,171,افضل برنااااااااااااااامج في العااااااااااااالم,-1.0
181,181,172,هو هيوصلنى من المكان اللى على مزاجه للمكان اللى على مزاجه,-1.0
182,182,173,جميل روووعة التطبيق,1.0
183,183,174,سريع فالطلب,0.0
184,184,175,خمتتتمتنممتمم لا ممكن اعرف ممكن منه ما ما فاهم مادته ما هي فوائد مما يجعل له في نعم مع غيره 6غنكغت,1.0
185,185,176,ناررررررررؤؤرررررظليؤؤقغؤقعك,1.0
186,186,177,جميل جدااا و أنصحكم تحملونه,1.0
187,187,178,تره زعجتوني كل ما افتح فيديو على اليوتيوب يطلع اعلانكم كافي .......... .🙄,-1.0
188,188,179,جيد جدا و شكرا لكم,1.0
189,189,180,تطبيق فاشل بمعني الكلمة,-1.0
190,190,181,مرحبا انا من الأردن هناك شيء ناقص في مطعم McDonald's ليش ما في بيج ماك تشكين بس في لحم لازم يكون في كمان دجاج بيج ماك تشكين ورجاء أصلاح المشكلة,0.0
191,191,182,انااحب هذا البرنامج صرحت بس اكتسح وعي يتحمل ، 💚💙❤️💛🧡💜💝💞💟,1.0
192,192,183,جيد جدا أنصح به,1.0
193,193,184,التطبيق ممتاز لكن رجاء اضافة خدمة تحديد العنوان تلقائيا عن طريق الموقع في الجوال,0.0
194,194,185,اهنيكم ع البرنامج,1.0
195,195,186,الاكل,1.0
196,196,187,هههههههه٧,1.0
197,197,188,مرا رهيب يستحق 5نجوم,1.0
198,198,189,Love,1.0
200,200,190,بس يريت الطلب يوصل بعد 30 دقيق احسن من 60 دقيقه,1.0
201,201,191,اضخم برنمج,1.0
202,202,192,ابن كلاب,-1.0
203,203,193,تجربه رائعه,1.0
207,207,194,البرنامج حلو جداً بس عايزين منتجات الرجوع للمدرسة,1.0
208,208,195,اقيمه نجمتين لأنه مايعرض كل المطاعم,-1.0
209,209,196,احلى تطبيق وافضل تعامل وارخص سعر للتوصيل,1.0
210,210,197,التطبيق زفت وما حلول انا موقعي ما يوصل وش هذا؟,-1.0
211,211,198,ك في تمنااى .،ؤءء ذ ءذ ءذذء ء ء ء منه ء د ء مخزن زعزوع ء .. ء ء ىط ء ء ء ء ء,0.0
212,212,199,تطبيق روووووعة تقييم 100000 نجمة 😍🥰,1.0
213,213,200,ممتازجدا,1.0
215,215,201,فوق الممتاز ونظيف,1.0
216,216,202,تطبيق توصيل رائع,1.0
217,217,203,Michael I,1.0
218,218,204,سيئ جدا والكابتن طول الطريق يتكلم مع صاحبه على التلفون واتاخر على معاد الوصول ساعة سيئ جدا لا انصح به,-1.0
219,219,205,الطلبات ادري انهم يرسلون طلبي و بس معا ذالك الطلبات دايم تتاخر لو تطلب انت تروح والله اسرع بشكل فرق 45 دقيقه بالقليل و ما اني طلبت مثير بس ما انصح به ابدا,-1.0
220,220,206,��❤️,
221,221,207,ممتاز جداااا,1.0
223,223,208,تبوك ثلاث مطاعم بس ومشغوله ٢٤ ساعة والتوصيل بعد ساعة و5 ريال لتوصيل,-1.0
224,224,209,جميييييل مرة بس الاكل بارد صح انه يوصل بسرعة لكن يكون بارد,1.0
225,225,210,خخخخخخخخخييييسسسس,-1.0
226,226,211,مش بيشغل كرت بنك ارجو حل المشكله,-1.0
227,227,212,ياريت يبقى في توصيل لمناطق كتيره كل فتره بخش بشوف في منطقتي ولا لا ياريت تبقو توفرو,1.0
228,228,213,جميلة جدا,1.0
231,231,214,وانا بحبها جدا انا اسمي بحبكم جدا جدا خالص و انا بحبكم خلاص ✍️📈📉ا بحث البرنامج اللي بيرجع ده كل الحاجات دي انا كنت عايزه انزلها 📱🍟🍔🥤,1.0
232,232,215,مش بتوصل كل حته,-1.0
233,233,216,خمس نجوم قليل عليكم والله خدمة ممتازه ومريحه وبنصح الكل يجرب التطبيق بكل مصداقيه وامانة,1.0
234,234,217,أفضل برنامج على الإطلاق,1.0
235,235,218,تطبيق فاشل انصح بعدم التحميل,-1.0
236,236,219,خدمة سريعة,1.0
237,237,220,ممتاز و جميل وسهل الاستخدام ولاكن سعر توصيل ٦٠٠ فلس ليش,1.0
238,238,221,والله من جد افخم تطبيق للمطاعم 👉🏼❤,1.0
239,239,222,"يحتاج إلى تطوير لينافس التطبيقات، لابد من أن تكون هنالك شروط لجودة أعلى، 
على المطاعم نشر تعريف دقيق بالوجبات وأيضا عدم اهمال الصور، اتوقع إن اهمال 
هذا يجعل التطبيق متخلفا، وأيضا لا أعلم ما فائدة تحديد موقع المكان والمطاعم 
لا تستخدمه وتتصل للوصف!",0.0
240,240,223,كييييف يشتغلللل بليييز قولو لولي,-1.0
241,241,224,التطبيق جميل وانصح باستخدامه,1.0
242,242,225,تجربتي سيئة جدا جدا.. تأخير متكرر بالطلبات وعادي جدا يتأخر الطلب ساعتين ونص.. ولما تشتكي يسكتوك ببطاقة خصم من غير أن تحل المشكلة.. لا يوجد تواصل بين خدمة العملاء وبين السائق.. ولا يوجد احترام للعميل.. نادمة على تعاملي معهم,-1.0
243,243,226,فلاصاايى,-1.0
244,244,227,تجربه سيئة لانكم ما بتوصلو اشي للهاشمية الزرقاء,-1.0
245,245,228,خره بي مديشتغل الله اكبر عليكم 😂💔,-1.0
246,246,229,التطبيق لسي هربو بس عيز اتاءكد انكم مش حرميا,1.0
247,247,230,رررررررررررررووووووووووععععععععهععععععههههههههههههههه,1.0
248,248,231,جيد جدا ❤️!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!! خلاص يدي اتكسرت😂.,1.0
249,249,232,تطبيق عالمي,1.0
251,251,233,بجد خدمه ممتازه وسعرها كمان حلو خالص,1.0
252,252,234,غغ,1.0
253,253,235,جيدجدا,1.0
256,256,236,شركة عقارية مميزة للإسكان العقاري,1.0
257,257,237,ازعجتونا بدعاية الطفله وهذا اللي خلاني ألغي متابعتكم,-1.0
258,258,238,التطبيق جميل بس كنت عايز اعرف انا نزلي مبلغ 100 جنيه في محفظتي يا ترى المبلغ ده هاتحاسب منه ولا ايه ويا ريت زياده الخطوط من مدينه نصر إلى شبرا,1.0
259,259,239,وصل الطلب 20 دقيقه بس,1.0
260,260,240,خراااا اووى,-1.0
261,261,241,التطبيق جدا جدا جدا جدا خايس ما يستحق اي نجمه فاااااااااااااااشل جدا فاشل لا تحمل التطبيق ابداا,-1.0
262,262,242,لماذا لايفتح التطبيق عندي ارجو الرد🙁🙁,1.0
263,263,243,ربنا مع كل اللي بيعمر هذا البلد ومن نجاح الي نجاح,1.0
264,264,244,برنامج اكثر من رائع استفدنا منه كثيراا شكراا لكم وموفقين,1.0
265,265,245,لا يتعامل مع كباتن التوصيل بشكل جيد مما ينعكس علينا نحن الزبائن,-1.0
266,266,246,جميل جدا سريع تعويض مالي اذا في تأخير❤️,1.0
267,267,247,عموما البرنامج روعة بس احيانا المشكلة تجي من المطاعم بس التطبيق اكثر من رائع ☺,1.0
268,268,248,في العموم جيد ...اسباب التقييم ... مشاكل السيستم ، و نقاط التحرك والوصول تحتاج مراجعة في ضؤ تغير خريطة الطرق ، و فشل نظام عند وصول الرحلة في اول نقطة مبكرا قبل موعدها يتم التحرك للنقطة التالية بعد انتظار قد يصل احيانا الي ٢٠ دقيقة اواكثر احيانا ، عدم تركيب ولصق لوجو الشركة على الباصات ، عدم اعطاء السائقين اوامر شغل يعرضهم لمشاكل مع إدارة المرور بالطريق وسحب الرخص ، ....هذه اسباب اذا تم حلها سيتم زيادة درجة تقييم الشركة ...مع تمنياتي بالتوفيق للشركة,0.0
269,269,249,السلام عليكم كيف طريقة تسجيل مطعم في التطبيق علما بأني دخلت على الاستماره المرفقه في التسجيل كمطعم لكن هناك مشكله تقنيه نرجوا الافاده,1.0
270,270,250,سريع التوصيل و المشروب يكون بارد و الطعام حار,1.0
271,271,251,تححححفهههه,1.0
272,272,252,خرا جدا جدا جدا و زق Very bad,-1.0
273,273,253,هناك وصف لوجبات غير مطابق للحقيقه .. ولكن بشكل اجمالي لابأس به,0.0
274,274,254,وبعدين يقول بعد  75 دقيقه يوصل الطلب ويين بعدين ليه مايحدد موقي مو لازم اكتب الحي,-1.0
275,275,255,لا يوجد أي مصداقيه في عروض,-1.0
276,276,256,افضل تطبيق لتوصيل الطعام,1.0
277,277,257,الأسعار أغلى من الطلب المباشر من المطعم,-1.0
278,278,258,تجربه الشروق للمعادي. رائعه,1.0
279,279,259,التطبيق ممتاز..... بس بعض المطاعم ما بعطي الطلب حقة لا استوه ولا ملح يمكن بتعتمد أن الزبون مش قدمهم,1.0
280,280,260,مكان عملي,1.0
282,282,261,ممتاز ولكن هناك بعض المطاعم لايوجد فيها صور الاكلات,1.0
283,283,262,التطبيق ممتاز ومفيد ولكن اتعبتني كثرة الاعلانات اليومية يرجى النظر في ذلك حقيقة مزعجة جدا حتى افكر اني الغي التطبيق,0.0
284,284,263,بس يجب اضافه مطاعم اكثر,1.0
285,285,264,افضل من المكالمات انصحم فيه عشان بعد ما تعور راسك,1.0
286,286,265,نعم,1.0
289,289,266,حلو جدا جدا والتوصيل حلو,1.0
290,290,267,خدمه العملاء فاشلين,-1.0
291,291,268,طلبت من المطعم مباشرهوصل الطلب بسرعه اما عن طريق طلبات قعد اكتر من ساعه ونص تطبيق زفت,-1.0
292,292,269,سيءجدا الطلب غلط زيادة بالسعر تحطوا ١٧٥٠ندفع ٤دنانير ليش كل مايفتح التطبيق بتحول انجليزي عبرونا شوي حولنا عربي خلص لازم يثبت عربي,-1.0
293,293,270,اكتر من راع,1.0
294,294,271,زباله ومفكرين نفسهم اشترونا بتعويض تمن الرحله واحنا نقف بساعات ومحدش يعبرنا,-1.0
295,295,272,ابداع استمرو الله يقويكم,1.0
296,296,273,شكرررا، طلبت الطلب و تقريبا وصلني بعد 35-30 دقيقة و الطلب وصلني لحد بيتي ، و اللي يجلس يقول التطبيق خايس يراجع عنوان بيته يمكن وصفه غلط .,1.0
297,297,274,ما بتوصلوا لموقعي وموقعي قريب من عمان ١٠ دقايق يعني مش عارف لمين منزلين التطبيق المشكله انو ما بيوصل لعندي,-1.0
298,298,275,تفو,-1.0
299,299,276,الله يلعنكم ازعجتونا بالإعلانات هذي خلاص كرهتونا فيكم قسم بالله,-1.0
300,300,277,فاشل فاشل فاشل❌❌,-1.0
301,301,278,احلا,1.0
302,302,279,صدق في التعامل,0.0
303,303,280,ترى هذا البرنامج حق دول الخليج بس وشكرا,1.0
304,304,281,جميل وكماان طلبت منوو 💜,1.0
305,305,282,محمداسماعيل,1.0
307,307,283,جيد ولكن لماذا لا يوجد قسائم,1.0
308,308,284,لا يشتغل بعد التحديث الجديد لايوجد الا مطعمين,-1.0
309,309,285,برنامج كولش فاشل,-1.0
