,Unnamed: 0,review_description,rating
92,92,شرك حرام نا راكب ابتن بعد دفع حساب طلب حط مبلغ محفظه محطيش حاج خد فلوس عت كتر شكو مفيش حد رد دي حاصل كتر شخص عرف لمت كابتن قال مليش دع وس شركه لي صبوا,-1
93,93,شتركو قنا عل يوتيوب خالد س,1
94,94,رنامج عقيم فيد قل مطاعم فقر معلوم حتاج مئ الاف مطاعم يستفاد,-1
95,95,سيئ جد جد دقيق مواعيد لا يستاهل تحميل نهائي,-1
96,96,برنامج كثر جميل رائع عطي عافيه قائم يالي صور اكل كو متوفر علش واحد عرف شن ختار,1
97,97,مشروع ناجح رجو توفيق,1
98,98,أذ ايعمل نهائي لا تح برنامج رجاء إفاد ملحوظ تليفونى فو فو,-1
99,99,رجاء كل نتب شركه دي نا مت سحب مبلغ بطاقه طلب شي دي تا مر حصل معاي خلال شهور حاول تواصل معا ماف اي يد لما قدم شكو ول مر حما مستهلك تصلو علي جار قيم شكو فتح لاغ في ياري ماحد سيب طاق بنك على وقع طالب صيح وج له,-1
100,100,فضل رنامج طلب نصح كل حب حب حب حب حب حب حب حب حب حب,1
101,101,رنامج نن,1
102,102,حب حب حب حب,1
103,103,زبال اعلان تطلعل دايم ملهاش داع خفووو مشاا له,-1
104,104,ممتاز,1
105,105,برنامج راءع سريع توصيل,1
106,106,نه رنامج جميل طلب يتزا جلب شكر,1
107,107,مر حل نصح,1
108,108,طبيق سمع تجرب معا مر اسف شل جدآ تاخير مستمر قل تاخير حصل ساع نص ذا تواصل معا صرف لا تاخذ حق اطل نسبه تم توقف تعامل معا,-1
109,109,نسبه فني يه تأخير فعيل حساب نتم تخترعوا,-1
110,110,شي خم,1
111,111,ممتاز ان أتي طلب غمز,1
112,112,حل وى ياحل,1
113,113,مبيجليش اي عروض,-1
114,114,مطعم طفوله مازال مفضل,1
115,115,منتااااز,1
116,116,ممش موجود مصر,-1
117,117,شرك طلب شرك شل جد جد جد خصوص طلب جو,-1
118,118,مطعم ممتاز جد,1
119,119,توفيق موافق,1
120,120,طبيق ممتاز جد,1
121,121,نتر نت محدود,-1
122,122,مر حلووو,1
123,123,حل مرة حب,1
124,124,أسف لا عمل اي قسيم رجو حل مشكل,1
125,125,رنامج ميشتغل يش,-1
126,126,طبيق زبال لا ستحق نجم,-1
127,127,سهل استخدام تيح خيار ثير,1
128,128,طبيق ممتاز كو فضل ضيفو خاص تبع طلب,1
129,129,سايق محترف,1
130,130,سة عامل إزال للبرنامجلاني نت حجاز على رحل اسكندر ميد زويل مدين عاشر رمض اسف تصل كابتن يقول حن مبنروحش ضياع قت مواعيد على فاض رجاء تاكد ماك رحل عند,-1
131,131,تطلبيق ممتاز,1
132,132,مفيش اى تزام منصحش حد تعام مع بد عديل شرك غت رحله عوضتنى نا رك رحله لى بعد لكن مشكله نى صل متاخر ميعادى صراح شهاد ناس لى ركب معا يقولو ان ده حادث نادر,0
133,133,زيد مطاعم زود نجوم,0
134,134,شغل بير,1
135,135,عني فراق طلب حقيق فراق طلب هذا نا عيب عرف يستخدم,0
136,136,حب حب,1
137,137,رنامج جيد مفيد,1
138,138,حمد مصر,1
139,139,حافظ مستوا جيد تعامل عملاء هتم فحص شكاوى عملاء حل سريع,1
140,140,صراح تطبيق عجب ويس له حطو شياء زي صح,1
141,141,رنامج رائع عند سرع ستجاب,1
142,142,تطبيق سئ بعد درج,-1
143,143,نا ابتن معاي سيار صن مم فعيل او دعم او رقم تواصل,1
144,144,جيب جاهز فرن طعم شهي جبنه سااايح عني نه طبيع ما جبن لي سيح يماو حب,1
145,145,لا نصح تم ازال ان عروض هم تضحكوا ناس تم عمل طلب ضع ود خصم صل طلب كامل قيم,-1
146,146,طبيق شل طبيق اعلان نابشيتل كل محل لعاب نت,-1
147,147,مرح مرح مرح غيظ غيظ غيظ غيظ,1
148,148,ايعمل شكل سريع تلفون سمسونق,-1
149,149,قيم توصيل ذداد كثر كثر حت مطاعم مساف قريبه موقع طلب رجوا راعو هذه نقطه تحديد,-1
150,150,سواء طبيق مم جرب خدم شل طلب وصل ناقص سوبر ماركت,-1
151,151,خدم سيئ جد تواصل موظف سوأ اسف طبيق مستفز زبا عطي معلوم صحيح أن طلب تم ستلام هذا صحيح مام,-1
152,152,تحديث جديد جيد ماذ قم إلغاء خاص تبع طلب قلل عدد قوائم طعام,-1
153,153,حل سرع جود طبيق خدمه اسعار هم شي سريع خصوص نت جوع طلب طلب وصل زى ماطلبت نا حب طلباتى شكر خدم طلب,1
154,154,شي ناه,1
155,155,حل اك قدر طلب لا جب,1
156,156,لا ستحق نجم ول لا وجد هاتف خدم عملاء حال رن استطع ترد صعب رجع تر على لا وجد خاص تبع طلب رقم سائق قت انتظار طويل جد حدد ساع نتظر طلب ساع نها غين طلب,-1
157,157,ماعند شي,-1
158,158,طبيق ممتاز زيد عدد مطاعم مشتركه,1
159,159,مال,1
160,160,شكر سويفل,1
161,161,ممتاز جد جد رب حفظ,1
162,162,ههدخههمدههههه,1
163,163,عرف يش ناس تحتاج هي طبيق سي جد صراح اكل ارد كل شي ناقص بس كو غلط من حل دو سبوع لا تعالج,-1
164,164,ممتع لكن تمني اضاف مزيد مطاعم شرق آسيا تايلند يابان التي قدم سوش سومو وني سوش منطق عسكر جو محافظ جنوب,1
165,165,طبيق ممتاز نصح تنزيل,1
166,166,أخرت دقيق عدد باص يمش يتوقع علي غرام ثم رحل امل طب باص أخر علي دقائق امل وصل نقط ثان حق يتحر طلع جر را خبط باص طب قول نه صل موصلش فضل قف دقيق شارع شمس دي حاج لا ستدع ان ميكنش عند شيئ سم عويض أصلا سوأ خدم عملاء حقيق شل إدار شف حيا نا قول شرك نظام ده هتفلس هتفشل شل ذريع حن عند قدر ممتاز نن بوظ شيئ مم,-1
167,167,حق طوصيل غل طلب,-1
168,168,زف شرك حرم صابي مافيش من اسلام ما مواطن معا ناس زبال حسب له نعم وكيل,-1
169,169,حل برنامج مرههه,1
170,170,طبيق زبال سبوع قعد است رمز,-1
171,171,خر تر زي زفت لا طلب توصل تبلغوا الغاء رافع اسعار سعار مطاعم اصليه ضعف حذف تطبيق ناقص من,-1
172,172,ول تجرب سوء تجرب طلب مفروض دقيق دقيق انتظر ساع لم صل اوردار قم غاءه لم قومو غاء مندوب صل يض اك ستلم اوردار ان طلب مك خر نصح عدم تعامل مع نهااااائي,-1
173,173,ياجماع مش هيوصل ود فعيل نشاء حساب جديد دخلو على سجل,1
174,174,شرك شل غيتو حس معاد ست سكيب ساعه صباح لي جامعه أمريكيه تجمع ول معاد ساعه طيب عنده متحا ريح شغل عمل يه شوف وبر او ريم حس,-1
175,175,ممتاز حب برنامج شكر,1
176,176,ذيذ جد جد جد,1
177,177,طبيق مش يشتغل خو اى لام زاى تنزلو مش يشتغل مال حن على شتغل هيعمل في يه خلاص رنامج زبال غاضب غاضب غاضب غاضب غاضب,-1
178,178,مام جاب مرح مرح مرح مرح مرح مرح,1
179,179,خالد سيد,1
180,180,تطبيق جميل شكر,1
181,181,حلوةاو,1
182,182,طبيق سهل كثير وقت,1
183,183,حتاج لى طوير وضع صور اكل جانب طلب حتاج لى توسع اضاف مطاعم ثير تطبيق,0
184,184,جدا سيء طلب ل ثيرا زعج في موقع YouTube دعا يا إله جدا مزعج باااااااد غاضب غاضب غاضب غاضب غاضب,-1
185,185,جم حد متضايق ني عمل تطبيق زي دا جد حسب له نعم وكيل حمل ول طلب يا ره جد صابي مافيش ول طلب خصم لاااااااااا له داب صابي مكنتش عاوز كتب دا مقلب لي خد ضايق نت مكتفي دع على,-1
186,186,رنامج عمل جد,1
187,187,من طلب مثل طلب جب طفال حدعش ياخد من حق وجب حق طوصيل مان لا على رد سريع,0
188,188,مشاكل تطبيق مبتخلصش شكل عمل رم,-1
189,189,ماشاء له على روووووووعة,1
190,190,تم جميل,1
191,191,يمكننى عمل مع دمام,1
193,193,له لع ذاب,-1
194,194,تم ثبيت يرنامج مد دقايق اكتشف نه غب,-1
195,195,حجز رحل مكانى غردق قولى لا وجد رحل فى توقيت دة فى كتر وم لا ما نا مش عارف ستخدم ابلكيشن او ان مفيش رحل تير,1
196,196,طبيق وصيل طلب,1
197,197,جع حط جرا زي شفو,0
198,198,برنااااامج جد رااائع,1
199,199,ممتاز ري وسعو طاق توصيل خصوص اربد قرئ ربد,1
200,200,تطبيق لا وجد كثير مطاعم لا وجد ماكدونالز رجر ميكر عروض سيئ جد سعار مطاعم وصيل عال جد,-1
201,201,ركدد عنز ىاؤبكذذل دذ,0
202,202,عروض هم عمل ول اوردر مجاش خصم قسيم ج تجرب شل ان صدق,-1
203,203,زي زفت نجم مان بقي حس اسعار اووووووووووووفر جد دا خراب يوت,-1
204,204,مم عرف طلب زاى,1
205,205,جمييييييييييل فك زم,1
206,206,ذاب لام في واقع,-1
207,207,مم دخل تطبيق سيار سوزوك تونايه هي سيار متوسط سهل حركه ظن نه خدمه كو عال شراف مكاتب حي اوراق رسم سيار سائق كو ول بادر دعم سيار سائقي,-1
208,208,اي رنامج حق مطاعم تأخر شل,-1
209,209,ممتاز شاء له,1
210,210,فضل تطبيق مر على,1
211,211,نه تطبيق جامد جد روع جد مطعم غال مو معقول,1
212,212,لا رائع جدا لا جيد ههههههههههههه لا حد هذا أنا لدى هو - هي لا لا لا لا سعاد سعاد سعاد سعاد سعاد,1
213,213,حب حب حب حب حب حب حب حب,1
214,214,طبيق رائع شكر عامل,1
215,215,ونس,1
216,216,مدين منور,1
217,217,تاخير زايد قلب حز,1
218,218,جميل سهل استخدام غيظ حب,1
219,219,حل مريح سريع,1
220,220,حـڵـــniceـــۆۆ حب,1
221,221,حككككككككزنمظخؤحسدسسدسظسزسظيظ سيء كحطككككككككحك حححح ىىحححححككك,-1
222,222,قو حب حب,1
223,223,أنا غادر,1
224,224,فن إعطاء شكلتس ختم تعليق يوتيوب دي تعليق قوقل لا ارث ارث,1
225,225,رائع جد قم روع,1
226,226,طبيق معقد معين سواق زبال,-1
227,227,ياخ هرديز ودو ماكدونلز تاك نبع قلي ماف لا مطاعم صي ريت حط مطاعم كثر نو ماف لا,-1
228,228,سوأ طبيق قييم صفر معظم مطاعم ؤخر طلب ساع عدم حترام عميل مطاعم مطعم وصل طلب أسطول متاخر جد فقد طعم تستطيع تتبع حصل رقم واصل درايفر فى مطعم رد عالهاتف عند شكوى خدم عملاء ائد رد تم سليم أوردر فرق أخير ساع او تني فرق جود صفر قييم,-1
229,229,سوأ طبيق اطلاق عدم حترام مواعيد ليس قط أخير طلب لكن عدم صول اصل,-1
230,230,دون نو,1
231,231,رائع عمل أجهز حكوميه ميا هرباء نو حويل رصيد دفع واتير تليف موبايل,1
232,232,هم شيء طن,1
233,233,نفس رنامج خط,0
234,234,عروض هم غلى سعر نك طلب مطعم نفس,-1
235,235,أفضل إطلاق,1
236,236,مفروض بقى مصداقيه كتر دا حن نتعامل معا هى جميع وس حساب خلاص رجاء اهتمام رد علي انى عندى شكوى عاوز وصل قائم خدم,-1
237,237,ديزكس ستياء ستياء عصب,1
238,238,طبيق زي زفت غب مر طلب قبل طلب بعد ثلث ساع او صف ساع لغي طلب فوق كل ذا طلب دق مندوب توصيل بي لوكيشن يش ايد حديد لوكيشن تطبيق,-1
239,239,يييء جدااا ول مر ستخدم مواعيد رحل مناسب ذهاب مشوار در تجمع مقطم ول رحل نا محتاج وحتى مفيش رحل قريب مك ني قريب ميد ازم ركب مواصل عش روحل تكلفه غال يه ايد نا وركب وبر او ربم حدوقسم فلوس هيبقى قل ده تير ده نه هياخدن بيت مش ركب مواصل تا مساعده حاول ابع مفيش يد مفيش طريق تواصل ده نا غلطا ني نزل تطبيق ده شغل مساح ليف عالفاض,-1
240,240,اسف خلل برنامج صارل سبوع ماتصلحت مشكله لي ثناء دفع مايكتمل خصم مبلغ حساب كرر مر حين وضع مستمر خلل علم نه خدم عملاء عند وضع حاصل,-1
241,241,ول مرة تجرب سيئ جد لا نصح استخدام جرب تا مرة عمل خصوم على رحل كابتن طريق كلام ئه زعيق حاج قرف,-1
242,242,ممتاز مصداق تعامل,1
243,243,زبال,-1
244,244,حب حب حب حب حب,1
245,245,يش عرعر لف شخص عرعر بغى خدمه إلغاء ثبيت جه عابس حب,-1
246,246,تطبيق جميل جداا اك مرا تأخر,1
247,247,تطبيق لا وصف رااائع جد لكن منى وصيل طلب قت سرع,1
248,248,مستوى تطبيق فتره أخيره نزل صبح لا ستطيع إعتماد طلب مطاعم بقال طول وقت وجد خلل ني تطبيق,-1
249,249,ضل طبيق حب,1
250,250,ضل طبيق,1
251,251,شرك متميز فى قطاع تطوير عقار,1
252,252,روع,1
253,253,رنامج روع سريع واضح شكر,1
254,254,ان عرف عن شىء وصف استعمال,1
255,255,رنامج رائع معامل تخليص مال,1
256,256,سمح مم سجل منتجا تطبيق حثت كل سبل جد طريق,1
257,257,خدم متميز طلب سريع سخ يوصل,1
258,258,وصيل متأخر ثير وقت لي عط يا,-1
259,259,عش نصبت كباتن,-1
260,260,طبيق مام قي زف,-1
261,261,ممتاز رائع,1
262,262,سعار حلو,1
263,263,مش ضرور,-1
264,264,مشكل مال ملاق سعود اكمل,0
265,265,له مر رااااائع جيب أكل قت مناسب مطاعم ثير حل وصل بلدا ثير,1
266,266,نا فيوم برنامج يقول مفيش وصيل نا حذف تا,-1
267,267,طبيق جيد مريح طلب خارج مطاعم,1
268,268,برنامج فك زم,1
269,269,لا ريد ظهور اعل,-1
270,270,زم حل حين شي سيء قت حضير نوع وجب توصيل أسعار خيال تم حذف تطبيق,-1
271,271,اب,1
272,272,هاتف لا يستقبل برنامج,-1
273,273,لا سمح تطبيق دخول مشترك خارج مصر حاول دخول لم ستطع,-1
274,274,غاضب غاضب,-1
275,275,تطبيق حاج لى ثير تحسين صراح لا لبي طموح في غرض,-1
276,276,ابلكيشن ممتاز,1
277,277,طلب بحر سئ أسف لا تم توصيل لي اي موقع دائم خبر أن منطق خارج طاق توصيل,-1
278,278,صف زي,1
279,279,سيء سيء سيء,-1
280,280,حش وي,-1
281,281,رنامج رائع يستاهل جوم,1
282,282,تجرب ممتاز اول صعوب سجيل بيان بعد شئ مام,1
283,283,تطبيق جن ذا مالج خلق دق حميل تطبيق ببس علا مشهور مدفوع,1
284,284,رفعو تسعيره كباتن,-1
285,285,ماذ تم غاء محط ميد زويل اسكندر حرام على عني مطلوب من ركب تاكس علش روح اقرب محط,0
286,286,خطاء متكرر,-1
287,287,رنامج جميل لكن ان سا قر عمر شاه مركز در بحير لما جي حدد مك طريق موقع جغراف ظام حديد مواقع يقول مك مش موجود ياري حل مشكل ده,-1
288,288,عميل مش موظف شرك لكن دعم موظف لي تم سريح نا حذف تطبيق ان لي حصل سلوب حضار,-1
289,289,دد مطاعم خاص مطاعم روز,1
290,290,ممتاز جد شكر,1
291,291,طبيق ممناز,1
292,292,طبيق شل غلب مناطق معروفه مشيط مناطق خرى رجو تعديل,-1
293,293,ويس هارديز بو لب تأخر حد حين جاء يش,0
294,294,موقع جد مميز حب احسن,1
295,295,برنامج جد حلو حي لي نا ساك موجود جا ختفى ستصعب على طلب يلو جد موجود حين لا,1
296,296,يستاهل برنامج وف كويت,1
297,297,نه رائع شكر لو ثير ان ساعد ثير طبيق طلب رائع شكر لو ثير نه رخيص شكر لو ثق ثق,1
298,298,تطبيق جميل لكن حتاج فصيل كثر بعض أطباق محتوي مكون شعب,1
299,299,طبيق عب تأخر ساعه تصل مايرد,-1
300,300,غز طبيق منا,1
301,301,احبب استعمال جد,1
302,302,موب سريع,-1
303,303,حب حب,1
304,304,شل سط فى بلد لا قوم توصيل,-1
305,305,حب,1
306,306,شوق لو سديس,1
307,307,سوييييييييييييييييييييييييييييييييييييييييييييييييييييييييييييب,1
308,308,رنامج مي مي حب,1
309,309,نتو رنامج شل صب مشوار لي نا حجز حج قرب نقط سواق قافل موبايل نا منصحش اي حد تعامل شئ زي ده,-1
310,310,ره عجيب,1
311,311,تجرب ممتاز دائم عروض قو,1
312,312,طبيق مشاكل تير,-1
313,313,فشل طبيق,-1
314,314,قدر شخص نو دفع اش رجو رد سرع قت مم,1
315,315,مريح جد حب حب,1
316,316,سيء أن لي طلب كو غيت دون أي سبب,-1
317,317,شرط مطاعم بو دخل كو حس مطعم ثير,1
318,318,زلف مو موجود,0
319,319,حاضر,0
320,320,اعلان لا وجد زر غلاق عطل برنامج عند نقر اعل فتح صفح جوجل رج صلاح اعلان زر غلاق شكر اهتمام زال مشكل زر إغلاق اعل متوفر,1
321,321,نا طلب قت حب,1
322,322,رجع تسعيره كباتن طبيق شل,-1
323,323,ممتازهز,1
324,324,حل رنامج حل مطعم كويت ول وب,1
325,325,جميل وي,1
326,326,ريد ود خصم,1
327,327,حلى شي حيا حب,1
328,328,جيد جد طعم رائع,1
329,329,محمد,1
330,330,جميل رنامج حل,1
331,331,زي حس غير,1
332,332,خدم سيئ خسرت ثق عملاء سبب طمع رحل ساحل,-1
334,334,أكل حل غال شو,0
335,335,سلام على رحم له رك ريد كو مندوب وصيل خطو عمل معا تمنيا تقدم ازدهار,1
336,336,انمممنوت,-1
337,337,تجرب سيئ جد خدم توصيل غير منضبط لا توقيت صدق عميل تمنى كرار تجرب نتظار أكثر ساع صف وجب مطعم لا بعد كثر دقائق منزل,-1
338,338,تطبيق شكل مرر حل وصيل علاي قريب يش سعوديه لى طلب شو,1
339,339,عقبال مفطح,1
340,340,جميل جد,1
341,341,منير,-1
342,342,سوأ تجارب ناح تجاريه صاحب مطعم صادق تعامل اي تفاق تم بين حساب تتم شركاء وقت مناسب هم لا نصح اي صاحب مطعم اشتراك معا حالي لى ان طورو انفس,-1
343,343,ضل طلب,1
344,344,موقع سيء جد لا عارف تواصل سائق اداره تابع اوردر خدمه سيئ اوردر متأخر جد,-1
345,345,طلب طيء,-1
346,346,طبيق شل جدار اثناء تسجيل رفض تسجيل ظهر رسال يان صحيح رسل ود تفعيل لا ستحق حت نجم,-1
347,347,دول,-1
348,348,حل,1
349,349,حلو جد,1
350,350,كثر رائع عروض ممتاز,1
351,351,منتااز جد,1
352,352,تطبيق رائع لكن عروض قليل جد محافظ ورسعيد كل تركيز قاهره محافظ اخرى,1
353,353,طريق عراد,1
354,354,ممتاز ازم كترو عروض تخفيض,1
355,355,وفير وقت سهول استخدام,1
356,356,فضل طبيق اطلاق,1
357,357,مام ممتاز,1
358,358,مم عرف فى وصيل تجمع خامس جامع قاهر رع زايد عوده لا لأ,0
359,359,نا نزل تطبيق مسح تا عش مش عارف تعامل معا مان لي هم ان قرب محط يا هتك عيد عني ازم ركب هينزلن محط عيد رضو شغل ومال نا عايز شتر يه عش وفر نفس مواصل او ني مش مساف طويل واضح نه طبق معي في مناطق معي,-1
360,360,مقاطع,-1
361,361,مع,1
362,362,حل بيك محسلت,-1
363,363,جميل مشكل نه تاخر,0
364,364,حلى ماف عرض منيو مطاعم,1
365,365,ازم اتعالج مشكل وقت فشل تطبيق,0
366,366,جميل جداوأحل رنامج,1
367,367,تحديث جديد رائع,1
368,368,ئه جد سوء خدم سائق تواصل نقط التقاء غير سيار سيار خرى عدم إعاد ثق مرة خرى لدى محادثه امل إدار,-1
369,369,ره طل هن صاحب فكره,1
370,370,عجب جد سريع,1
371,371,خدم ممتاز ابتن محترم,1
372,372,قول لا سل هبل طبخ نفس حس ااسر,-1
373,373,مشكل ان مبتوصلوش كل اماكن ده ضع سيئ اسف,-1
374,374,حار مظلوم,1
375,375,زبال زبال زبال مفيد شركه قط مش افراد,-1
376,376,ية مافيش وصيل عند نه منطق حيو,-1
377,377,جمع شهداء خير,1
378,378,جميل جد,1
379,379,يش مناطق شي ماعاد عبر يش وسمحتوا سووى عبر,-1
380,380,جميل جددددد,1
381,381,صصث,1
382,382,رنامج شل ماف عروض تستاحل نك حمل نا حذف,-1
383,383,حل تطبيق حيييلللل,1
384,384,حب طبيق قت ضروره,1
385,385,ابيتر هى مستقبل,1
386,386,او,1
387,387,ايعجب سبب ول وم نزل طبيق رسوم وصيل تير ما ديلفيرو ول حساب ول او وم وصيل مج ذا وصيل مج ره جميل جميل,-1
388,388,طبيق ممتاز رائع سهول عثور مطاعم استعراض طلب اختيار سرع تجاوب نفيذ طلب تمنى مزيد تطور توفيق,1
389,389,شرك جيد خدم جار بقاله تى تستخدم عروض خصوم انتشار توسع عبار ابليكشن طلب منتج جمل شركه تعامل فتر فى سوق سمح خلق مناخ جيد جار جمله طريق ابليكشن,0
390,390,روع سهل عالناس لي مال خلق طلع,1
391,391,أسف مش قو ول مرة ستخدم نهارده طلب عرض جب فت حات جال وجب لا كف إشباع ني آدم فت صغير شو رز صغير جد يشبعوش طفل طبع ان لمن كول تر سأل عنو لي نا اتب فصيل يقول مش ظاهر عند مان طلب ولا جال اسبراي حمد رب نه ماجبليش راخ دل كفت نتظار تركيز شو صحيح أخطاء صغير مش معنى إن طالب عرض نه يتحطل تافي كل عش نا مش صوصو حز حب,0
392,392,خدم جيد لكن سعار مناسب أى طبق وغيرملائمة مواصف علا سوفيل هذا شى ذب ليس حقيق أن اسعار على متوقع كتير رجو ادار شرك اهتمام تقدم سوفيل نهار وضع غيرر مناسب ان نا مستخدم سوفيل نا من اصدقائى قرر انسحاب شرك عدم قدم رض واقع تسعير عال غا قدم شكوى تم مرجع,-1
393,393,سهل يد,1
394,394,اا عجب ان ايوجد وصيل قر قديد قريبه مدينه تمنى وفير ذال,-1
395,395,جزا رب خير,1
396,396,مصداق هتمام أراء عملاء سهول تطبيق,1
397,397,جامد له عظيم,1
398,398,شرك قائم متصاص دماء موظف,-1
399,399,سوء جرب كل فى حيا نا مش عارف عيب في فى مطعم لي نتاك حرفي جايب كل ايت بطاطس طعم حش جد اي اكل ارد ان بيبس ثلج مع دا ان توصيل متاخرش اكل طعم سئ جد غالب مطاعم تقصد حط اكل بايت قديم فى اوردر,-1
400,400,abood هو عل,1
401,401,راح ممتاز,1
